step,analysis,quantity,value,ci_low,ci_high,n,test,statistic,df,p_value,effect_size_name,effect_size,notes
1,curve_fit,n_sessions,650,,,650.0,,,,,,,"fish_* cohort, all timepoints"
1,curve_fit,n_converged,650,,,650.0,,,,,,,
1,curve_fit,convergence_rate,1.0,,,650.0,,,,,,,"scipy.optimize.curve_fit, bounded, 4 starting points per session"
1,curve_fit,r2_median,0.7963425759849168,,,650.0,,,,,,,
1,curve_fit,r2_q05,0.5044743523275542,,,650.0,,,,,,,
1,curve_fit,r2_min,0.1071620748554235,,,650.0,,,,,,,
1,curve_fit,n_tau_at_bound,1,,,650.0,,,,,,,
1,tau_agreement,pearson_r,0.9999910869108465,,,650.0,Pearson correlation,0.9999910869108465,,0.0,,,refit tau vs supplied fish_features.decay_constant
1,tau_agreement,spearman_rho,0.999999737823651,,,650.0,Spearman correlation,0.999999737823651,,0.0,,,
1,tau_agreement,mean_bias_trials,-0.0006045821217316598,-0.0018137587898318553,0.0006045945463685358,650.0,one-sample t (paired difference),,,,,,refit minus supplied
1,tau_agreement,limits_of_agreement_low,-0.031375733148183975,,,650.0,,,,,,,"Bland-Altman, bias -/+ 1.96 SD"
1,tau_agreement,limits_of_agreement_high,0.030166568904720654,,,650.0,,,,,,,
1,tau_agreement,sd_of_difference,0.015699566850230773,,,650.0,,,,,,,
1,tau_agreement,median_abs_pct_error,0.00390265960761666,,,650.0,,,,,,,
1,loglinear_failure,pct_trials_below_offset,28.102564102564102,,,650.0,,,,,,,points unusable after offset subtraction (y <= C)
1,loglinear_failure,n_sessions_negative_tau,4,,,650.0,,,,,,,sign-inverted tau from log-linearisation
1,loglinear_failure,n_sessions_undefined_tau,0,,,650.0,,,,,,,
1,loglinear_failure,pearson_r_vs_supplied,-0.22941634338714437,,,650.0,Pearson correlation,-0.22941634338714437,,3.2821034297486614e-09,,,log-linearised tau vs supplied tau; compare with the NLS r
2,design_matrix,n_fish,81,,,81.0,,,,,,,"injured only, complete cases"
2,design_matrix,n_events,36,,,81.0,,,,,,,
2,design_matrix,event_rate,0.4444444444444444,,,81.0,,,,,,,
2,design_matrix,events_per_variable,9.0,,,81.0,,,,,,,"4 predictors; >=10 is the conventional target, >=9 the accepted minimum"
2,design_matrix,n_excluded_incomplete,7,,,,,,,,,,missing a 0.5 h or 24 h session (attrition)
2,design_matrix,n_low_impact_clutch_A,13,,,,,,,,,,converted = 5
2,design_matrix,n_low_impact_clutch_B,15,,,,,,,,,,converted = 6
2,design_matrix,n_low_impact_clutch_C,14,,,,,,,,,,converted = 6
2,design_matrix,n_high_impact_clutch_A,13,,,,,,,,,,converted = 4
2,design_matrix,n_high_impact_clutch_B,12,,,,,,,,,,converted = 5
2,design_matrix,n_high_impact_clutch_C,14,,,,,,,,,,converted = 10
2,design_matrix,max_abs_predictor_correlation,0.7395329494699892,,,81.0,,,,,,,
2,assumptions,vif_dose,2.547092002239026,,,81.0,,,,,,,
2,assumptions,vif_pre_tau,1.1627362612797032,,,81.0,,,,,,,
2,assumptions,vif_dtau_0.5,4.099715003535305,,,81.0,,,,,,,
2,assumptions,vif_dtau_24,2.270553769989451,,,81.0,,,,,,,
2,assumptions,max_abs_unpenalised_coef,7.730814344490431,,,81.0,,,,,,,separation diagnostic; |coef| > 10 suggests quasi-separation
2,unpenalised_logit,coef_const,-7.730814344490431,-11.159496925803966,-4.302131763176897,81.0,"Wald z (statsmodels Logit, unpenalised)",-4.4192243892585905,,9.905575803399824e-06,odds ratio (raw units),0.0004390864038768966,reference only; the reported model is ridge-penalised
2,unpenalised_logit,coef_dose,3.107056582580642,0.8701028097359895,5.3440103554252945,81.0,"Wald z (statsmodels Logit, unpenalised)",2.722326707736157,,0.006482402138916456,odds ratio (raw units),22.355146937543875,reference only; the reported model is ridge-penalised
2,unpenalised_logit,coef_pre_tau,1.0088800508500868,0.555322801027136,1.4624373006730376,81.0,"Wald z (statsmodels Logit, unpenalised)",4.359689025275174,,1.3024740384552001e-05,odds ratio (raw units),2.742527802736112,reference only; the reported model is ridge-penalised
2,unpenalised_logit,coef_dtau_0.5,0.0937733754240446,-0.2093015766837429,0.3968483275318321,81.0,"Wald z (statsmodels Logit, unpenalised)",0.6064256952336851,,0.5442321100188198,odds ratio (raw units),1.098310813488762,reference only; the reported model is ridge-penalised
2,unpenalised_logit,coef_dtau_24,0.7539431654643092,0.3053064504014664,1.202579880527152,81.0,"Wald z (statsmodels Logit, unpenalised)",3.293759518752672,,0.0009885703629123764,odds ratio (raw units),2.125364177764271,reference only; the reported model is ridge-penalised
2,assumptions,quartile_event_rates_pre_tau,0.238;0.350;0.450;0.750,,,81.0,,,,,,,monotone
2,assumptions,quartile_event_rates_dtau_0.5,0.381;0.500;0.350;0.550,,,81.0,,,,,,,non-monotone (linear logit is an approximation)
2,assumptions,quartile_event_rates_dtau_24,0.238;0.450;0.450;0.650,,,81.0,,,,,,,monotone
2,nested_comparison,a_locomotion_only_mean_fold_auc,0.4155463953258071,,,81.0,nested CV (GroupKFold on clutch),,,,,,"(a) baseline_locomotion only; folds: clutch_C=0.323, clutch_B=0.420, clutch_A=0.503"
2,nested_comparison,a_locomotion_only_sd_fold_auc,0.09027577723015655,,,81.0,,,,,,,
2,nested_comparison,a_locomotion_only_pooled_oof_auc,0.38765432098765434,0.26524106002554276,0.5168023695738747,81.0,,,,,,,clutch-clustered bootstrap percentile CI
2,nested_comparison,a_locomotion_only_brier,0.25184540303698777,,,81.0,,,,,,,
2,nested_comparison,b_dose_only_mean_fold_auc,0.44006857793622506,,,81.0,nested CV (GroupKFold on clutch),,,,,,"(b) dose only; folds: clutch_C=0.354, clutch_B=0.509, clutch_A=0.458"
2,nested_comparison,b_dose_only_sd_fold_auc,0.07864328743643614,,,81.0,,,,,,,
2,nested_comparison,b_dose_only_pooled_oof_auc,0.38055555555555554,0.25609826547326553,0.5021821752774506,81.0,,,,,,,clutch-clustered bootstrap percentile CI
2,nested_comparison,b_dose_only_brier,0.2508659501543007,,,81.0,,,,,,,
2,nested_comparison,c_dose_pretau_mean_fold_auc,0.6774546939988116,,,81.0,nested CV (GroupKFold on clutch),,,,,,"(c) dose + pre_tau; folds: clutch_C=0.615, clutch_B=0.830, clutch_A=0.588"
2,nested_comparison,c_dose_pretau_sd_fold_auc,0.13237165246143157,,,81.0,,,,,,,
2,nested_comparison,c_dose_pretau_pooled_oof_auc,0.6067901234567902,0.4844318518743776,0.7248129026146267,81.0,,,,,,,clutch-clustered bootstrap percentile CI
2,nested_comparison,c_dose_pretau_brier,0.24826973614396183,,,81.0,,,,,,,
2,nested_comparison,d_dose_dtau_mean_fold_auc,0.6214875470390175,,,81.0,nested CV (GroupKFold on clutch),,,,,,"(d) dose + z_dtau; folds: clutch_C=0.630, clutch_B=0.659, clutch_A=0.575"
2,nested_comparison,d_dose_dtau_sd_fold_auc,0.04263796237625671,,,81.0,,,,,,,
2,nested_comparison,d_dose_dtau_pooled_oof_auc,0.6086419753086418,0.4840834957214268,0.7266418407043406,81.0,,,,,,,clutch-clustered bootstrap percentile CI
2,nested_comparison,d_dose_dtau_brier,0.24442245629717332,,,81.0,,,,,,,
2,nested_comparison,e_full_mean_fold_auc,0.8491563923549217,,,81.0,nested CV (GroupKFold on clutch),,,,,,"(e) full 4-predictor model; folds: clutch_C=0.880, clutch_B=0.909, clutch_A=0.758"
2,nested_comparison,e_full_sd_fold_auc,0.0801090033089827,,,81.0,,,,,,,
2,nested_comparison,e_full_pooled_oof_auc,0.832716049382716,0.7362603686635946,0.9161608472564319,81.0,,,,,,,clutch-clustered bootstrap percentile CI
2,nested_comparison,e_full_brier,0.17274410671785656,,,81.0,,,,,,,
2,leakage,random_split_mean_fold_auc,0.8646825396825397,,,81.0,5-fold random StratifiedKFold,,,,,,ignores clutch; reported only to quantify inflation
2,leakage,random_split_pooled_auc,0.8561728395061728,,,81.0,,,,,,,
2,leakage,clutch_split_mean_fold_auc,0.8491563923549217,,,81.0,GroupKFold on clutch,,,,,,
2,leakage,inflation_auc,0.015526147327618034,,,81.0,,,,,,,random-split AUC minus clutch-split AUC
2,permutation,observed_pooled_auc,0.832716049382716,,,81.0,,,,,,,
2,permutation,null_mean_auc,0.4686185185185185,,,1000.0,,,,,,,
2,permutation,null_sd_auc,0.08163768843448387,,,1000.0,,,,,,,
2,permutation,null_95th_percentile,0.600648148148148,,,1000.0,,,,,,,
2,permutation,p_value_pooled_auc,0.000999000999000999,,,81.0,"permutation test, 1000 label shuffles within clutch",0.832716049382716,,0.000999000999000999,,,p = (1 + #{null >= observed}) / (n_perm + 1)
2,permutation,p_value_mean_fold_auc,0.000999000999000999,,,81.0,"permutation test, 1000 shuffles",0.8491563923549217,,0.000999000999000999,,,
2,permutation,percentile_of_observed_in_null,100.0,,,1000.0,,,,,,,
2,full_model,selected_C_full_data,0.03,,,81.0,,,,,,,chosen by clutch-held-out CV on the full set; the reported AUC does NOT use this
2,full_model,coef_dose,0.0753044176559029,-0.08104946266139576,0.22766062081716698,81.0,ridge logistic (clutch-clustered bootstrap CI),,,,odds ratio per SD,1.078212327800068,"OR 95% CI [0.922, 1.256]; includes zero"
2,full_model,coef_pre_tau,0.33138544348575577,0.19969567329182644,0.4297511689996343,81.0,ridge logistic (clutch-clustered bootstrap CI),,,,odds ratio per SD,1.392896571762394,"OR 95% CI [1.221, 1.537]; excludes zero"
2,full_model,coef_dtau_0.5,0.16768875628536883,0.029282111132402193,0.28959539874632967,81.0,ridge logistic (clutch-clustered bootstrap CI),,,,odds ratio per SD,1.1825684863540977,"OR 95% CI [1.030, 1.336]; excludes zero"
2,full_model,coef_dtau_24,0.2570251841569069,0.13305788344597003,0.3616966102213587,81.0,ridge logistic (clutch-clustered bootstrap CI),,,,odds ratio per SD,1.2930776914207687,"OR 95% CI [1.142, 1.436]; excludes zero"
2,confusion_matrix,accuracy,0.7654320987654321,,,81.0,,,,,,,"out-of-fold predictions, threshold 0.50"
2,confusion_matrix,balanced_accuracy,0.7555555555555555,,,81.0,,,,,,,"out-of-fold predictions, threshold 0.50"
2,confusion_matrix,sensitivity,0.6666666666666666,,,81.0,,,,,,,"out-of-fold predictions, threshold 0.50"
2,confusion_matrix,specificity,0.8444444444444444,,,81.0,,,,,,,"out-of-fold predictions, threshold 0.50"
2,confusion_matrix,ppv,0.7741935483870968,,,81.0,,,,,,,"out-of-fold predictions, threshold 0.50"
2,confusion_matrix,npv,0.76,,,81.0,,,,,,,"out-of-fold predictions, threshold 0.50"
2,confusion_matrix,tn_fp_fn_tp,38;7;12;24,,,81.0,,,,,,,
2,calibration,brier_score,0.17274410671785656,,,81.0,,,,,,,out-of-fold; 0.25 = uninformative at 50% prevalence
2,confusion_matrix_youden,threshold,0.4719470471092606,,,81.0,,,,,,,"Youden-optimal operating point, selected on the out-of-fold predictions; mildly optimistic, reported as an operating-point illustration only"
2,confusion_matrix_youden,accuracy,0.8148148148148148,,,81.0,,,,,,,threshold 0.472 (Youden)
2,confusion_matrix_youden,balanced_accuracy,0.8166666666666667,,,81.0,,,,,,,threshold 0.472 (Youden)
2,confusion_matrix_youden,sensitivity,0.8333333333333334,,,81.0,,,,,,,threshold 0.472 (Youden)
2,confusion_matrix_youden,specificity,0.8,,,81.0,,,,,,,threshold 0.472 (Youden)
2,confusion_matrix_youden,ppv,0.7692307692307693,,,81.0,,,,,,,threshold 0.472 (Youden)
2,confusion_matrix_youden,npv,0.8571428571428571,,,81.0,,,,,,,threshold 0.472 (Youden)
2,confusion_matrix_youden,tn_fp_fn_tp,36;9;6;30,,,81.0,,,,,,,
2,sensitivity,global_z_mean_fold_auc,0.852628614577144,,,81.0,,,,,,,within-dose z fitted on the WHOLE dataset (mildly leaky); reported to show the fold-safe scaler costs nothing
3,design,n_pools,18,,,,,,,,,,"analysed as 9 pairs, NOT 18 independent units"
3,cfos_all_pairs,n_pairs,9,,,9.0,,,,,,,All 9 pairs
3,cfos_all_pairs,mean_fold_change_difference,0.28555555555555556,0.008253534803808693,0.5628575763073025,9.0,paired t-test (one-sample on differences),2.374639355878137,8,0.04491995352087866,Cohen's dz,0.7915464519593791,All 9 pairs
3,cfos_all_pairs,wilcoxon_fold_change,0.28555555555555556,,,9.0,Wilcoxon signed-rank (robustness check),6.0,,0.0546875,,,All 9 pairs
