fish_id,group,clutch,tau_-1,tau_0.5,tau_24,loco_-1,loco_0.5,loco_24,pre_tau,baseline_locomotion_pre,dtau_0.5,dtau_24,converted,burst_events_per_hour,ptz_challenged,dose
zf_016,low_impact,clutch_A,6.647553135098423,8.334973657545179,10.48216032649769,117.59,88.0,93.3,6.647553135098423,117.59,1.6874205224467556,3.8346071913992663,0,0.54,0,0
zf_017,low_impact,clutch_A,4.971723513871722,4.730903517818205,1.91557702896906,107.01,88.49,106.41,4.971723513871722,107.01,-0.24081999605351712,-3.056146484902662,0,0.38,0,0
zf_018,low_impact,clutch_A,9.012828087067914,15.346375697920436,12.01610586087751,100.17,93.46,106.68,9.012828087067914,100.17,6.333547610852522,3.003277773809595,1,9.89,1,0
zf_019,low_impact,clutch_A,9.441468199162674,10.890817853177412,10.509775177411766,108.05,90.37,102.03,9.441468199162674,108.05,1.4493496540147373,1.0683069782490922,1,9.41,1,0
zf_020,low_impact,clutch_A,6.02140818150143,7.987419609328425,7.93321756801405,110.95,92.64,106.03,6.02140818150143,110.95,1.9660114278269951,1.91180938651262,0,2.07,0,0
zf_021,low_impact,clutch_A,4.607119190905396,9.586956762814411,8.073356821607616,102.47,85.13,100.78,4.607119190905396,102.47,4.979837571909015,3.46623763070222,1,4.59,0,0
zf_022,low_impact,clutch_A,3.6831383092771786,9.793431679486902,7.303607838120872,101.46,92.27,111.48,3.6831383092771786,101.46,6.110293370209724,3.620469528843693,0,0.04,0,0
zf_023,low_impact,clutch_A,11.859774925239403,10.139330079227335,4.7891530490213565,99.24,96.89,99.18,11.859774925239403,99.24,-1.720444846012068,-7.070621876218047,0,0.06,1,0
zf_024,low_impact,clutch_A,5.405481316940067,10.15678036833562,5.48042519881556,102.1,91.54,95.32,5.405481316940067,102.1,4.751299051395552,0.07494388187549283,0,0.11,0,0
zf_025,low_impact,clutch_A,6.528490642950971,8.814817137567518,9.354627010307016,114.51,93.0,101.77,6.528490642950971,114.51,2.2863264946165467,2.826136367356045,0,0.02,0,0
zf_026,low_impact,clutch_A,8.682951825514971,10.063622029193516,16.41775228103652,99.52,87.4,100.02,8.682951825514971,99.52,1.3806702036785445,7.734800455521549,0,0.35,1,0
zf_027,low_impact,clutch_A,7.722677742724373,15.763540146259983,10.793343351983488,107.32,94.29,95.02,7.722677742724373,107.32,8.040862403535609,3.070665609259115,1,7.88,0,0
zf_028,low_impact,clutch_A,9.854659531312587,12.776091515280228,14.80201948490121,103.39,84.01,104.96,9.854659531312587,103.39,2.9214319839676417,4.947359953588624,1,5.69,1,0
zf_030,low_impact,clutch_A,4.512306136747925,7.818058032314015,5.361146953677997,104.28,93.17,102.67,4.512306136747925,104.28,3.3057518955660905,0.8488408169300721,0,1.19,0,0
zf_031,high_impact,clutch_A,4.136072208748764,0.5507120342182316,2.0582577670710833,99.32,56.48,81.88,4.136072208748764,99.32,-3.585360174530532,-2.0778144416776803,0,0.51,1,1
zf_032,high_impact,clutch_A,3.9815403355114447,3.7033022672002,5.430792035065937,109.12,65.0,93.04,3.9815403355114447,109.12,-0.27823806831124465,1.4492516995544924,0,0.02,0,1
zf_034,high_impact,clutch_A,6.600844239721531,5.130501061460598,5.160915448646789,108.71,63.58,79.77,6.600844239721531,108.71,-1.4703431782609329,-1.4399287910747418,0,0.48,1,1
zf_035,high_impact,clutch_A,7.726530132042267,4.162520957779882,4.720584499134664,99.71,68.02,85.54,7.726530132042267,99.71,-3.5640091742623854,-3.0059456329076033,1,11.6,1,1
zf_036,high_impact,clutch_A,5.258771477386246,1.1854060243854787,1.7024974024963517,106.85,64.83,85.3,5.258771477386246,106.85,-4.0733654530007675,-3.5562740748898944,0,0.97,1,1
zf_037,high_impact,clutch_A,4.666585920677776,2.907820560598287,3.0512597805926975,99.68,62.04,86.85,4.666585920677776,99.68,-1.7587653600794892,-1.6153261400850787,1,6.02,0,1
zf_038,high_impact,clutch_A,5.1891129575845305,4.703524952638052,9.195101260796665,104.79,61.7,78.96,5.1891129575845305,104.79,-0.4855880049464787,4.005988303212135,1,3.91,0,1
zf_039,high_impact,clutch_A,5.911949133281847,2.64213955571568,4.6853311074600565,100.29,55.26,82.16,5.911949133281847,100.29,-3.269809577566167,-1.2266180258217902,1,10.07,0,1
zf_040,high_impact,clutch_A,5.9033520172488005,3.3054372455552175,3.8963894603652767,104.03,58.8,86.99,5.9033520172488005,104.03,-2.597914771693583,-2.006962556883524,0,0.94,1,1
zf_041,high_impact,clutch_A,10.504667437969294,6.9067339374223,10.23392181156635,109.49,50.38,86.03,10.504667437969294,109.49,-3.5979335005469943,-0.27074562640294353,1,5.8,1,1
zf_043,high_impact,clutch_A,4.253346397085867,3.7319313930339812,6.703507052372606,97.19,53.12,77.4,4.253346397085867,97.19,-0.5214150040518857,2.450160655286739,1,14.23,0,1
