group,clutch,pool_type,fold_change,ddct,n_pools,n_larvae
sham,clutch_A,non_converter,0.966,0.07549999999999998,2,6
sham,clutch_B,non_converter,1.324,-0.385,2,6
sham,clutch_C,non_converter,1.2534999999999998,-0.297,2,6
low_impact,clutch_A,converter,1.557,-0.639,1,3
low_impact,clutch_A,non_converter,1.2890000000000001,-0.3,2,6
low_impact,clutch_B,converter,1.871,-0.904,1,3
low_impact,clutch_B,non_converter,1.1555,-0.19949999999999998,2,6
low_impact,clutch_C,converter,3.039,-1.603,1,3
low_impact,clutch_C,non_converter,1.1265,-0.137,2,6
high_impact,clutch_A,converter,2.398,-1.1945,2,6
high_impact,clutch_A,non_converter,1.2650000000000001,-0.338,2,6
high_impact,clutch_B,converter,2.427,-1.273,2,6
high_impact,clutch_B,non_converter,1.092,-0.1265,2,6
high_impact,clutch_C,converter,1.971,-0.974,2,6
high_impact,clutch_C,non_converter,1.6055,-0.6735,2,6
