pool_id,risk_pool,group,clutch,fish_id
pool_01,high_risk,sham,clutch_A,cf_003
pool_01,high_risk,sham,clutch_A,cf_005
pool_01,high_risk,sham,clutch_A,cf_007
pool_01,high_risk,sham,clutch_A,cf_008
pool_02,low_risk,sham,clutch_A,cf_001
pool_02,low_risk,sham,clutch_A,cf_002
pool_02,low_risk,sham,clutch_A,cf_006
pool_02,low_risk,sham,clutch_A,cf_009
pool_03,high_risk,low_impact,clutch_A,cf_015
pool_03,high_risk,low_impact,clutch_A,cf_016
pool_03,high_risk,low_impact,clutch_A,cf_017
pool_03,high_risk,low_impact,clutch_A,cf_020
pool_04,low_risk,low_impact,clutch_A,cf_012
pool_04,low_risk,low_impact,clutch_A,cf_013
pool_04,low_risk,low_impact,clutch_A,cf_014
pool_04,low_risk,low_impact,clutch_A,cf_018
pool_05,high_risk,high_impact,clutch_A,cf_021
pool_05,high_risk,high_impact,clutch_A,cf_026
pool_05,high_risk,high_impact,clutch_A,cf_029
pool_05,high_risk,high_impact,clutch_A,cf_030
pool_06,low_risk,high_impact,clutch_A,cf_022
pool_06,low_risk,high_impact,clutch_A,cf_023
pool_06,low_risk,high_impact,clutch_A,cf_024
pool_06,low_risk,high_impact,clutch_A,cf_027
pool_07,high_risk,sham,clutch_B,cf_031
pool_07,high_risk,sham,clutch_B,cf_033
pool_07,high_risk,sham,clutch_B,cf_039
pool_07,high_risk,sham,clutch_B,cf_040
pool_08,low_risk,sham,clutch_B,cf_032
pool_08,low_risk,sham,clutch_B,cf_034
pool_08,low_risk,sham,clutch_B,cf_035
pool_08,low_risk,sham,clutch_B,cf_036
pool_09,high_risk,low_impact,clutch_B,cf_042
pool_09,high_risk,low_impact,clutch_B,cf_043
pool_09,high_risk,low_impact,clutch_B,cf_046
pool_09,high_risk,low_impact,clutch_B,cf_047
pool_10,low_risk,low_impact,clutch_B,cf_044
pool_10,low_risk,low_impact,clutch_B,cf_045
pool_10,low_risk,low_impact,clutch_B,cf_048
pool_10,low_risk,low_impact,clutch_B,cf_050
pool_11,high_risk,high_impact,clutch_B,cf_052
pool_11,high_risk,high_impact,clutch_B,cf_054
pool_11,high_risk,high_impact,clutch_B,cf_058
pool_11,high_risk,high_impact,clutch_B,cf_059
pool_12,low_risk,high_impact,clutch_B,cf_051
pool_12,low_risk,high_impact,clutch_B,cf_053
pool_12,low_risk,high_impact,clutch_B,cf_056
pool_12,low_risk,high_impact,clutch_B,cf_060
pool_13,high_risk,sham,clutch_C,cf_063
pool_13,high_risk,sham,clutch_C,cf_066
pool_13,high_risk,sham,clutch_C,cf_068
pool_13,high_risk,sham,clutch_C,cf_070
pool_14,low_risk,sham,clutch_C,cf_062
pool_14,low_risk,sham,clutch_C,cf_065
pool_14,low_risk,sham,clutch_C,cf_067
pool_14,low_risk,sham,clutch_C,cf_069
pool_15,high_risk,low_impact,clutch_C,cf_076
pool_15,high_risk,low_impact,clutch_C,cf_077
pool_15,high_risk,low_impact,clutch_C,cf_079
pool_15,high_risk,low_impact,clutch_C,cf_080
pool_16,low_risk,low_impact,clutch_C,cf_071
pool_16,low_risk,low_impact,clutch_C,cf_072
pool_16,low_risk,low_impact,clutch_C,cf_073
pool_16,low_risk,low_impact,clutch_C,cf_074
pool_17,high_risk,high_impact,clutch_C,cf_083
pool_17,high_risk,high_impact,clutch_C,cf_086
pool_17,high_risk,high_impact,clutch_C,cf_088
pool_17,high_risk,high_impact,clutch_C,cf_089
pool_18,low_risk,high_impact,clutch_C,cf_082
pool_18,low_risk,high_impact,clutch_C,cf_084
pool_18,low_risk,high_impact,clutch_C,cf_085
pool_18,low_risk,high_impact,clutch_C,cf_090
