pool_id,group,clutch,pool_type,n_larvae_in_pool,target,reference_gene,delta_delta_ct,cfos_fold_change,pooled_fish_ids,delta_ddct
pool_01,sham,clutch_A,non_converter,3,fosab,rpl13a,-0.201,1.149,zf_003;zf_014;zf_015,-0.201
pool_02,sham,clutch_A,non_converter,3,fosab,rpl13a,0.352,0.783,zf_002;zf_006;zf_012,0.352
pool_03,low_impact,clutch_A,converter,3,fosab,rpl13a,-0.639,1.557,zf_018;zf_021;zf_028,-0.639
pool_04,low_impact,clutch_A,non_converter,3,fosab,rpl13a,-0.743,1.673,zf_016;zf_020;zf_024,-0.743
pool_05,low_impact,clutch_A,non_converter,3,fosab,rpl13a,0.143,0.905,zf_022;zf_023;zf_030,0.143
pool_06,high_impact,clutch_A,converter,3,fosab,rpl13a,-1.638,3.113,zf_038;zf_039;zf_043,-1.638
pool_07,high_impact,clutch_A,converter,3,fosab,rpl13a,-0.751,1.683,zf_035;zf_037;zf_045,-0.751
pool_08,high_impact,clutch_A,non_converter,3,fosab,rpl13a,-0.281,1.215,zf_032;zf_034;zf_036,-0.281
pool_09,high_impact,clutch_A,non_converter,3,fosab,rpl13a,-0.395,1.315,zf_031;zf_042;zf_044,-0.395
pool_10,sham,clutch_B,non_converter,3,fosab,rpl13a,-0.627,1.544,zf_047;zf_053;zf_059,-0.627
pool_11,sham,clutch_B,non_converter,3,fosab,rpl13a,-0.143,1.104,zf_048;zf_051;zf_056,-0.143
pool_12,low_impact,clutch_B,converter,3,fosab,rpl13a,-0.904,1.871,zf_063;zf_073;zf_074,-0.904
pool_13,low_impact,clutch_B,non_converter,3,fosab,rpl13a,-0.361,1.284,zf_062;zf_068;zf_075,-0.361
pool_14,low_impact,clutch_B,non_converter,3,fosab,rpl13a,-0.038,1.027,zf_064;zf_065;zf_071,-0.038
pool_15,high_impact,clutch_B,converter,3,fosab,rpl13a,-1.136,2.198,zf_076;zf_083;zf_085,-1.136
pool_16,high_impact,clutch_B,converter,3,fosab,rpl13a,-1.41,2.656,zf_077;zf_081;zf_090,-1.41
pool_17,high_impact,clutch_B,non_converter,3,fosab,rpl13a,-0.179,1.132,zf_079;zf_080;zf_087,-0.179
pool_18,high_impact,clutch_B,non_converter,3,fosab,rpl13a,-0.074,1.052,zf_078;zf_084;zf_088,-0.074
pool_19,sham,clutch_C,non_converter,3,fosab,rpl13a,-0.005,1.003,zf_091;zf_099;zf_105,-0.005
pool_20,sham,clutch_C,non_converter,3,fosab,rpl13a,-0.589,1.504,zf_100;zf_101;zf_102,-0.589
pool_21,low_impact,clutch_C,converter,3,fosab,rpl13a,-1.603,3.039,zf_107;zf_111;zf_113,-1.603
pool_22,low_impact,clutch_C,non_converter,3,fosab,rpl13a,-0.457,1.372,zf_115;zf_116;zf_118,-0.457
pool_23,low_impact,clutch_C,non_converter,3,fosab,rpl13a,0.183,0.881,zf_108;zf_112;zf_119,0.183
pool_24,high_impact,clutch_C,converter,3,fosab,rpl13a,-1.095,2.136,zf_123;zf_128;zf_129,-1.095
pool_25,high_impact,clutch_C,converter,3,fosab,rpl13a,-0.853,1.806,zf_121;zf_126;zf_134,-0.853
pool_26,high_impact,clutch_C,non_converter,3,fosab,rpl13a,-0.508,1.422,zf_125;zf_127;zf_132,-0.508
pool_27,high_impact,clutch_C,non_converter,3,fosab,rpl13a,-0.839,1.789,zf_124;zf_130;zf_131,-0.839
