session_id,clutch,session,n_fish_recorded,setup_min,acquisition_min,analysis_min,operator_hands_on_min,consumables_cost_usd,fish_lost_this_session,session_kind,timepoint_h,total_min,fish_per_hour,operator_min_per_fish,cost_per_fish_usd
S01,clutch_A,habituation_t-1.0,43,20.9,48,8.5,35.4,4.04,0,habituation,-1.0,77.4,33.333333333333336,0.8232558139534883,0.09395348837209302
S02,clutch_A,habituation_t0.5,42,20.5,48,8.7,37.5,3.99,0,habituation,0.5,77.2,32.64248704663213,0.8928571428571429,0.095
S03,clutch_A,habituation_t24.0,44,24.6,48,11.3,40.1,4.08,1,habituation,24.0,83.89999999999999,31.466030989272948,0.9113636363636364,0.09272727272727273
S04,clutch_B,habituation_t-1.0,44,26.1,48,8.1,40.7,4.08,2,habituation,-1.0,82.19999999999999,32.11678832116789,0.925,0.09272727272727273
S05,clutch_B,habituation_t0.5,45,18.0,48,10.1,33.0,4.12,0,habituation,0.5,76.1,35.4796320630749,0.7333333333333333,0.09155555555555556
S06,clutch_B,habituation_t24.0,44,22.2,48,11.9,38.9,4.08,0,habituation,24.0,82.10000000000001,32.155907429963456,0.884090909090909,0.09272727272727273
S07,clutch_C,habituation_t-1.0,42,26.3,48,6.4,39.9,3.99,0,habituation,-1.0,80.7,31.226765799256505,0.95,0.095
S08,clutch_C,habituation_t0.5,43,19.6,48,9.4,35.9,4.04,0,habituation,0.5,77.0,33.506493506493506,0.8348837209302326,0.09395348837209302
S09,clutch_C,habituation_t24.0,43,31.9,48,5.9,44.2,4.04,1,habituation,24.0,85.80000000000001,30.069930069930066,1.0279069767441862,0.09395348837209302
S10,clutch_A,outcome_6.8dpf,44,32.3,90,26.6,67.1,4.08,0,outcome,,148.9,17.730020147750167,1.525,0.09272727272727273
S11,clutch_B,outcome_6.8dpf,45,22.7,90,23.1,53.7,4.12,0,outcome,,135.8,19.882179675994106,1.1933333333333334,0.09155555555555556
S12,clutch_C,outcome_6.8dpf,43,23.0,90,20.0,48.7,4.04,0,outcome,,133.0,19.398496240601503,1.1325581395348838,0.09395348837209302
