group,timepoint_h,n,mean,sd,sem
sham,-1.0,45,6.3283969923530385,1.7800112482832666,0.2653484101250426
sham,0.5,44,6.1936875054155545,3.0090553931383965,0.4536321687470645
sham,1.0,43,6.027343311263928,2.8069116382950603,0.4280500118899458
sham,5.0,44,7.4456498695971165,4.142773640649185,0.6245466253367264
sham,24.0,43,7.229979540484806,3.847346941478199,0.5867149081489446
low_impact,-1.0,45,6.461166738049249,2.4090439261818446,0.35911906531503934
low_impact,0.5,43,10.214441729996294,4.004233939263082,0.6106399510149136
low_impact,1.0,45,9.382903556005017,4.539579264716472,0.6767205216769695
low_impact,5.0,44,8.167863710227799,4.417639012313934,0.665984139230979
low_impact,24.0,44,7.021164525676289,3.151847100425437,0.47515882857639963
high_impact,-1.0,43,6.0209255676661035,1.8248325041255788,0.27828434797561774
high_impact,0.5,40,3.283358077740176,2.076365947817901,0.3283022825559446
high_impact,1.0,42,3.842368338474092,3.1038757516696145,0.47893842634872763
high_impact,5.0,43,4.518554904731414,3.0445560789899395,0.4642904493434063
high_impact,24.0,42,4.415513942225282,2.5738204956344126,0.39714912467748165
